batch loss acc
0 1.3859 31.25
10 1.4059 25.00
20 1.3958 18.75
30 1.3684 25.00
40 1.3682 25.00
50 1.3539 25.00
60 1.5569 25.00
70 0.8108 62.50
80 1.0198 25.00
90 0.5778 75.00
100 0.7189 68.75
110 0.0648 100.00
120 0.0684 100.00
130 0.0129 100.00
140 0.0083 100.00
150 0.1283 93.75
160 0.0035 100.00
170 0.0044 100.00
180 0.0015 100.00
190 0.0046 100.00
200 0.0005 100.00
210 0.0007 100.00
220 0.0005 100.00
230 0.0012 100.00
240 0.0007 100.00
250 0.0004 100.00
260 0.0007 100.00
270 0.0007 100.00
280 0.0005 100.00
290 0.0002 100.00
300 0.0002 100.00
310 0.0005 100.00
320 0.0004 100.00
330 0.0004 100.00
340 0.0002 100.00
350 0.0003 100.00
360 0.0004 100.00
370 0.0004 100.00
380 0.0013 100.00
390 0.0002 100.00
400 0.0003 100.00
410 0.0003 100.00
420 0.0003 100.00
430 0.0004 100.00
440 0.0002 100.00
450 0.0001 100.00
460 0.0005 100.00
470 0.0001 100.00
480 0.0001 100.00
490 0.0002 100.00
500 0.0004 100.00
510 0.0001 100.00
520 0.0001 100.00
530 0.0002 100.00
