batch loss acc
0 1.3841 25.00
10 1.3682 37.50
20 1.4074 18.75
30 1.4151 6.25
40 1.3545 37.50
50 1.3284 43.75
60 1.1196 50.00
70 0.7189 62.50
80 0.9129 50.00
90 0.5612 81.25
100 0.8072 62.50
110 0.6961 68.75
120 0.3538 93.75
130 0.2491 93.75
140 0.1411 93.75
150 0.0155 100.00
160 0.0084 100.00
170 0.0063 100.00
180 0.0006 100.00
190 0.0028 100.00
200 0.0015 100.00
210 0.0010 100.00
220 0.0009 100.00
230 0.0008 100.00
240 0.0011 100.00
250 0.0017 100.00
260 0.0006 100.00
270 0.0011 100.00
280 0.0007 100.00
290 0.0002 100.00
300 0.0003 100.00
310 0.0004 100.00
320 0.0007 100.00
330 0.0003 100.00
340 0.0003 100.00
350 0.0003 100.00
360 0.0010 100.00
370 0.0002 100.00
380 0.0005 100.00
390 0.0002 100.00
400 0.0002 100.00
410 0.0001 100.00
420 0.0005 100.00
430 0.0001 100.00
440 0.0004 100.00
450 0.0001 100.00
460 0.0001 100.00
470 0.0003 100.00
480 0.0002 100.00
490 0.0002 100.00
500 0.0001 100.00
510 0.0002 100.00
520 0.0004 100.00
530 0.0002 100.00
