batch loss acc
0 1.3830 18.75
10 1.4210 6.25
20 1.4119 25.00
30 1.3705 37.50
40 1.3469 50.00
50 1.3515 37.50
60 1.0299 62.50
70 0.8251 68.75
80 1.1293 50.00
90 0.8051 62.50
100 0.8808 62.50
110 0.5773 75.00
120 0.5369 68.75
130 0.3396 87.50
140 0.6901 50.00
150 0.3719 81.25
160 0.2225 93.75
170 0.0446 100.00
180 0.0017 100.00
190 0.0125 100.00
200 0.0016 100.00
210 0.0211 100.00
220 0.0092 100.00
230 0.0700 93.75
240 0.0131 100.00
250 0.0023 100.00
260 0.0357 100.00
270 0.0010 100.00
280 0.0026 100.00
290 0.0009 100.00
300 0.0010 100.00
310 0.0006 100.00
320 0.0012 100.00
330 0.0015 100.00
340 0.0005 100.00
350 0.0008 100.00
360 0.0007 100.00
370 0.0004 100.00
380 0.0006 100.00
390 0.0008 100.00
400 0.0009 100.00
410 0.0005 100.00
420 0.0005 100.00
430 0.0002 100.00
440 0.0007 100.00
450 0.0016 100.00
460 0.0003 100.00
470 0.0002 100.00
480 0.0003 100.00
490 0.0002 100.00
500 0.0005 100.00
510 0.0003 100.00
520 0.0003 100.00
530 0.0010 100.00
