batch loss acc
0 1.3942 18.75
10 1.4432 18.75
20 1.3554 56.25
30 1.3508 31.25
40 1.3681 18.75
50 1.3473 31.25
60 1.2193 43.75
70 0.4033 87.50
80 0.5592 75.00
90 0.5943 81.25
100 0.8826 43.75
110 0.6705 68.75
120 0.4774 81.25
130 0.5899 75.00
140 0.9570 50.00
150 0.5394 75.00
160 0.2501 87.50
170 0.1584 100.00
180 0.0836 100.00
190 0.0054 100.00
200 0.0028 100.00
210 0.0040 100.00
220 0.0013 100.00
230 0.0007 100.00
240 0.0029 100.00
250 0.0012 100.00
260 0.0138 100.00
270 0.0021 100.00
280 0.0006 100.00
290 0.0007 100.00
300 0.0010 100.00
310 0.0014 100.00
320 0.0008 100.00
330 0.0012 100.00
340 0.0010 100.00
350 0.0005 100.00
360 0.0004 100.00
370 0.0006 100.00
380 0.0003 100.00
390 0.0008 100.00
400 0.0005 100.00
410 0.0002 100.00
420 0.0002 100.00
430 0.0002 100.00
440 0.0002 100.00
450 0.0005 100.00
460 0.0002 100.00
470 0.0002 100.00
480 0.0005 100.00
490 0.0005 100.00
500 0.0003 100.00
510 0.0001 100.00
520 0.0001 100.00
530 0.0003 100.00
