batch loss acc
0 0.0000 100.00
10 0.0000 100.00
20 0.0000 100.00
30 0.0000 100.00
40 0.0000 100.00
50 0.0000 100.00
60 0.0000 100.00
70 0.0000 100.00
80 0.0000 100.00
90 0.0000 100.00
100 0.0000 100.00
110 0.0000 100.00
120 0.0000 100.00
130 0.0000 100.00
140 0.0000 100.00
150 0.0000 100.00
160 0.0000 100.00
170 0.0000 100.00
180 0.0000 100.00
190 0.0000 100.00
200 0.0000 100.00
210 0.0000 100.00
220 0.0000 100.00
230 0.0000 100.00
240 0.0000 100.00
250 0.0000 100.00
260 0.0000 100.00
270 0.0000 100.00
280 0.0000 100.00
290 0.0000 100.00
300 0.0000 100.00
310 0.0000 100.00
320 0.0000 100.00
330 0.0000 100.00
340 0.0000 100.00
350 0.0000 100.00
360 0.0000 100.00
370 0.0000 100.00
380 0.0000 100.00
390 0.0000 100.00
400 0.0000 100.00
410 0.0000 100.00
420 0.0000 100.00
430 0.0000 100.00
440 0.0000 100.00
450 0.0000 100.00
460 0.0000 100.00
470 0.0000 100.00
480 0.0000 100.00
490 0.0000 100.00
500 0.0000 100.00
510 0.0000 100.00
520 0.0000 100.00
530 0.0000 100.00
540 0.0000 100.00
550 0.0000 100.00
560 0.0000 100.00
570 0.0000 100.00
580 0.0000 100.00
590 0.0000 100.00
600 0.0000 100.00
610 0.0000 100.00
620 0.0000 100.00
630 0.0000 100.00
640 0.0000 100.00
650 0.0000 100.00
660 0.0000 100.00
670 0.0000 100.00
680 0.0000 100.00
690 0.0000 100.00
700 0.0000 100.00
710 0.0000 100.00
720 0.0000 100.00
730 0.0000 100.00
740 0.0000 100.00
750 0.0000 100.00
760 0.0000 100.00
770 0.0000 100.00
780 0.0000 100.00
790 0.0000 100.00
800 0.0000 100.00
810 0.0000 100.00
820 0.0000 100.00
830 0.0000 100.00
840 0.0000 100.00
850 0.0000 100.00
860 0.0000 100.00
870 0.0000 100.00
880 0.0000 100.00
890 0.0000 100.00
900 0.0000 100.00
910 18.2619 25.00
920 6.3293 25.00
930 1.4203 25.00
940 0.7346 75.00
950 0.7644 50.00
960 1.5787 50.00
970 2.3458 25.00
980 1.0428 50.00
990 1.4841 50.00
1000 0.9867 50.00
1010 0.6352 100.00
1020 1.2976 25.00
1030 1.0697 50.00
1040 1.2631 50.00
1050 1.0332 25.00
1060 1.7353 50.00
1070 1.9004 0.00
1080 0.6298 75.00
1090 0.6253 75.00
1100 0.6007 75.00
1110 0.9374 25.00
1120 0.9128 75.00
1130 0.8919 75.00
1140 0.4793 75.00
1150 0.8540 75.00
1160 0.5037 75.00
1170 0.5441 75.00
1180 0.8989 75.00
1190 0.2278 100.00
1200 0.0739 100.00
1210 0.1971 100.00
1220 0.8246 50.00
1230 0.6181 75.00
1240 0.5912 50.00
1250 0.5932 75.00
1260 0.0842 100.00
1270 0.0655 100.00
1280 0.1812 100.00
1290 0.1170 100.00
1300 0.0333 100.00
1310 0.0917 100.00
1320 0.0659 100.00
1330 0.0107 100.00
1340 0.0161 100.00
1350 0.0698 100.00
1360 0.0522 100.00
1370 0.0940 100.00
1380 0.0201 100.00
1390 0.0308 100.00
1400 0.0187 100.00
1410 0.0067 100.00
1420 0.0109 100.00
1430 0.0120 100.00
1440 0.0249 100.00
1450 0.0262 100.00
1460 0.0212 100.00
1470 0.0045 100.00
1480 0.0203 100.00
1490 0.0582 100.00
1500 0.0396 100.00
1510 0.0182 100.00
1520 0.0040 100.00
1530 0.0119 100.00
1540 0.0052 100.00
1550 0.0026 100.00
1560 0.0024 100.00
1570 0.1544 100.00
1580 0.0043 100.00
1590 0.0021 100.00
1600 0.0084 100.00
1610 0.0030 100.00
1620 0.0062 100.00
1630 0.0027 100.00
1640 0.0018 100.00
1650 0.0036 100.00
1660 0.0089 100.00
1670 0.0020 100.00
1680 0.0011 100.00
1690 0.0042 100.00
1700 0.0016 100.00
1710 0.0016 100.00
1720 0.0056 100.00
1730 0.0038 100.00
1740 0.0030 100.00
1750 0.0021 100.00
1760 0.0010 100.00
1770 0.0046 100.00
1780 0.0030 100.00
1790 0.0043 100.00
1800 0.0029 100.00
1810 0.0020 100.00
1820 0.0010 100.00
1830 0.0022 100.00
1840 0.0023 100.00
1850 0.0019 100.00
1860 0.0036 100.00
1870 0.0011 100.00
1880 0.0043 100.00
1890 0.0013 100.00
1900 0.0011 100.00
1910 0.0013 100.00
1920 0.0012 100.00
1930 0.0013 100.00
1940 0.0015 100.00
1950 0.0011 100.00
1960 0.0044 100.00
1970 0.0007 100.00
1980 0.0019 100.00
1990 0.0034 100.00
2000 0.0012 100.00
2010 0.0025 100.00
2020 0.0016 100.00
2030 0.0030 100.00
2040 0.0008 100.00
2050 0.0019 100.00
2060 0.0013 100.00
2070 0.0012 100.00
2080 0.0008 100.00
2090 0.0011 100.00
2100 0.0012 100.00
2110 0.0010 100.00
2120 0.0004 100.00
2130 0.0006 100.00
2140 0.0011 100.00
2150 0.0008 100.00
