batch loss acc
0 1.3884 31.25
10 1.3207 56.25
20 1.3787 43.75
30 1.3758 18.75
40 1.3348 37.50
50 1.2129 68.75
60 1.2075 31.25
70 1.0530 50.00
80 1.2752 43.75
90 0.6827 75.00
100 0.8422 56.25
110 0.6244 81.25
120 0.5636 75.00
130 0.4826 75.00
140 0.4527 75.00
150 0.5862 75.00
160 0.1797 93.75
170 0.0147 100.00
180 0.0106 100.00
190 0.0028 100.00
200 0.0031 100.00
210 0.0019 100.00
220 0.0009 100.00
230 0.0010 100.00
240 0.0012 100.00
250 0.0009 100.00
260 0.0025 100.00
270 0.0007 100.00
280 0.0009 100.00
290 0.0005 100.00
300 0.0009 100.00
310 0.0011 100.00
320 0.0007 100.00
330 0.0004 100.00
340 0.0003 100.00
350 0.0004 100.00
360 0.0015 100.00
370 0.0001 100.00
380 0.0006 100.00
390 0.0016 100.00
400 0.0002 100.00
410 0.0006 100.00
420 0.0003 100.00
430 0.0001 100.00
440 0.0003 100.00
450 0.0003 100.00
460 0.0002 100.00
470 0.0002 100.00
480 0.0002 100.00
490 0.0007 100.00
500 0.0001 100.00
510 0.0001 100.00
520 0.0003 100.00
530 0.0002 100.00
