batch loss acc
0 1.3829 37.50
10 1.3775 50.00
20 1.4027 25.00
30 1.4042 12.50
40 1.3801 25.00
50 1.3658 31.25
60 1.3239 37.50
70 1.1083 56.25
80 0.7178 68.75
90 0.3996 87.50
100 0.3890 87.50
110 0.1725 100.00
120 0.0652 100.00
130 0.1860 93.75
140 0.0072 100.00
150 0.0055 100.00
160 0.0018 100.00
170 0.0200 100.00
180 0.0254 100.00
190 0.0016 100.00
200 0.0017 100.00
210 0.0012 100.00
220 0.0007 100.00
230 0.0008 100.00
240 0.0003 100.00
250 0.0024 100.00
260 0.0003 100.00
270 0.0003 100.00
280 0.0006 100.00
290 0.0003 100.00
300 0.0003 100.00
310 0.0009 100.00
320 0.0004 100.00
330 0.0001 100.00
340 0.0005 100.00
350 0.0008 100.00
360 0.0002 100.00
370 0.0002 100.00
380 0.0004 100.00
390 0.0001 100.00
400 0.0001 100.00
410 0.0001 100.00
420 0.0002 100.00
430 0.0002 100.00
440 0.0001 100.00
450 0.0001 100.00
460 0.0001 100.00
470 0.0001 100.00
480 0.0004 100.00
490 0.0001 100.00
500 0.0003 100.00
510 0.0002 100.00
520 0.0001 100.00
530 0.0001 100.00
