batch loss acc
0 1.3888 25.00
10 1.3682 31.25
20 1.4292 18.75
30 1.3637 31.25
40 1.3635 43.75
50 1.3112 56.25
60 1.4751 18.75
70 0.9263 75.00
80 0.9873 56.25
90 0.8957 56.25
100 0.6574 75.00
110 0.8320 56.25
120 0.6192 68.75
130 0.3763 93.75
140 0.0749 100.00
150 0.0111 100.00
160 0.0175 100.00
170 0.0030 100.00
180 0.0043 100.00
190 0.0029 100.00
200 0.0042 100.00
210 0.0005 100.00
220 0.0006 100.00
230 0.0006 100.00
240 0.0003 100.00
250 0.0004 100.00
260 0.0004 100.00
270 0.0003 100.00
280 0.0003 100.00
290 0.0011 100.00
300 0.0004 100.00
310 0.0001 100.00
320 0.0003 100.00
330 0.0003 100.00
340 0.0004 100.00
350 0.0002 100.00
360 0.0001 100.00
370 0.0002 100.00
380 0.0002 100.00
390 0.0003 100.00
400 0.0002 100.00
410 0.0004 100.00
420 0.0003 100.00
430 0.0003 100.00
440 0.0001 100.00
450 0.0002 100.00
460 0.0001 100.00
470 0.0001 100.00
480 0.0002 100.00
490 0.0001 100.00
500 0.0001 100.00
510 0.0002 100.00
520 0.0001 100.00
530 0.0002 100.00
