batch loss acc
0 1.3809 12.50
10 1.4490 12.50
20 1.3870 25.00
30 1.3811 43.75
40 1.4090 6.25
50 1.3321 56.25
60 1.3292 37.50
70 1.0249 56.25
80 0.8925 56.25
90 1.1732 50.00
100 0.6516 50.00
110 0.3739 93.75
120 0.5486 62.50
130 0.6812 68.75
140 0.3263 87.50
150 0.0867 100.00
160 0.0390 100.00
170 0.0135 100.00
180 0.0066 100.00
190 0.0089 100.00
200 0.0018 100.00
210 0.0012 100.00
220 0.0010 100.00
230 0.0018 100.00
240 0.0011 100.00
250 0.0007 100.00
260 0.0004 100.00
270 0.0014 100.00
280 0.0004 100.00
290 0.0007 100.00
300 0.0004 100.00
310 0.0007 100.00
320 0.0006 100.00
330 0.0015 100.00
340 0.0003 100.00
350 0.0007 100.00
360 0.0003 100.00
370 0.0004 100.00
380 0.0005 100.00
390 0.0002 100.00
400 0.0002 100.00
410 0.0003 100.00
420 0.0002 100.00
430 0.0003 100.00
440 0.0003 100.00
450 0.0004 100.00
460 0.0003 100.00
470 0.0004 100.00
480 0.0002 100.00
490 0.0003 100.00
500 0.0004 100.00
510 0.0002 100.00
520 0.0002 100.00
530 0.0002 100.00
