batch loss acc
0 1.3832 37.50
10 1.4769 6.25
20 1.3970 12.50
30 1.3968 12.50
40 1.3386 31.25
50 1.3183 37.50
60 1.2402 37.50
70 1.2862 37.50
80 1.2599 25.00
90 0.7209 68.75
100 0.6143 81.25
110 0.5725 68.75
120 0.5020 68.75
130 0.7062 50.00
140 0.5931 68.75
150 0.4961 75.00
160 0.1893 93.75
170 0.0330 100.00
180 0.0027 100.00
190 0.0021 100.00
200 0.0033 100.00
210 0.0027 100.00
220 0.0015 100.00
230 0.0012 100.00
240 0.0016 100.00
250 0.0011 100.00
260 0.0005 100.00
270 0.0006 100.00
280 0.0016 100.00
290 0.0002 100.00
300 0.0008 100.00
310 0.0008 100.00
320 0.0003 100.00
330 0.0004 100.00
340 0.0003 100.00
350 0.0005 100.00
360 0.0009 100.00
370 0.0003 100.00
380 0.0002 100.00
390 0.0003 100.00
400 0.0007 100.00
410 0.0004 100.00
420 0.0002 100.00
430 0.0001 100.00
440 0.0002 100.00
450 0.0003 100.00
460 0.0001 100.00
470 0.0001 100.00
480 0.0001 100.00
490 0.0001 100.00
500 0.0001 100.00
510 0.0001 100.00
520 0.0001 100.00
530 0.0001 100.00
