batch loss acc
0 1.3824 25.00
10 1.3604 37.50
20 1.3680 25.00
30 1.3719 50.00
40 1.3328 50.00
50 1.2526 31.25
60 0.7003 75.00
70 0.8215 56.25
80 0.7597 62.50
90 0.6655 56.25
100 0.6564 62.50
110 0.3982 87.50
120 0.4790 75.00
130 0.3923 81.25
140 0.4357 68.75
150 0.2731 87.50
160 0.1186 100.00
170 0.0481 100.00
180 0.0085 100.00
190 0.0010 100.00
200 0.0007 100.00
210 0.0006 100.00
220 0.0009 100.00
230 0.0030 100.00
240 0.0012 100.00
250 0.0009 100.00
260 0.0004 100.00
270 0.0010 100.00
280 0.0009 100.00
290 0.0002 100.00
300 0.0003 100.00
310 0.0005 100.00
320 0.0002 100.00
330 0.0003 100.00
340 0.0002 100.00
350 0.0002 100.00
360 0.0004 100.00
370 0.0004 100.00
380 0.0005 100.00
390 0.0002 100.00
400 0.0002 100.00
410 0.0001 100.00
420 0.0002 100.00
430 0.0002 100.00
440 0.0002 100.00
450 0.0001 100.00
460 0.0001 100.00
470 0.0001 100.00
480 0.0002 100.00
490 0.0001 100.00
500 0.0001 100.00
510 0.0001 100.00
520 0.0001 100.00
530 0.0001 100.00
