batch loss acc
0 0.2301 93.75
10 0.0651 100.00
20 0.0191 100.00
30 0.0152 100.00
40 0.0724 96.88
50 0.1112 96.88
60 0.0056 100.00
70 0.0162 100.00
80 0.0449 96.88
90 0.1341 93.75
100 0.0342 96.88
110 0.0819 96.88
120 0.0584 100.00
130 0.0517 96.88
140 0.0082 100.00
150 0.0108 100.00
160 0.0533 96.88
170 0.0148 100.00
180 0.1229 96.88
190 0.0199 100.00
200 0.1105 96.88
210 0.0108 100.00
220 0.0679 96.88
230 0.0301 96.88
240 0.0107 100.00
250 0.0158 100.00
260 0.0210 100.00
270 0.0088 100.00
280 0.0028 100.00
290 0.1028 93.75
300 0.0023 100.00
310 0.0098 100.00
