batch loss acc
0 0.0194 100.00
10 0.0343 96.88
20 0.0103 100.00
30 0.1891 90.62
40 0.0040 100.00
50 0.0118 100.00
60 0.0576 96.88
70 0.1045 93.75
80 0.0090 100.00
90 0.0597 96.88
100 0.0042 100.00
110 0.1446 96.88
120 0.0402 100.00
130 0.0457 96.88
140 0.0207 100.00
150 0.0154 100.00
160 0.0038 100.00
170 0.1351 96.88
180 0.0055 100.00
190 0.3083 90.62
200 0.0204 100.00
210 0.0086 100.00
220 0.0311 96.88
230 0.0132 100.00
240 0.0142 100.00
250 0.1541 96.88
260 0.0099 100.00
270 0.0137 100.00
280 0.0401 96.88
290 0.0020 100.00
300 0.0676 96.88
310 0.0120 100.00
