batch loss acc
0 0.0047 100.00
10 0.0014 100.00
20 0.0011 100.00
30 0.0037 100.00
40 0.0407 96.88
50 0.0037 100.00
60 0.0460 96.88
70 0.0156 100.00
80 0.0026 100.00
90 0.0010 100.00
100 0.0048 100.00
110 0.0009 100.00
120 0.0408 96.88
130 0.0014 100.00
140 0.0020 100.00
150 0.0016 100.00
160 0.0016 100.00
170 0.0046 100.00
180 0.0045 100.00
190 0.0015 100.00
200 0.0064 100.00
210 0.0010 100.00
220 0.0029 100.00
230 0.0029 100.00
240 0.0029 100.00
250 0.0039 100.00
260 0.0030 100.00
270 0.0011 100.00
280 0.0013 100.00
290 0.1120 96.88
300 0.0097 100.00
310 0.0035 100.00
