batch loss acc
0 0.0325 100.00
10 0.0102 100.00
20 0.0068 100.00
30 0.0330 100.00
40 0.0456 100.00
50 0.0363 96.88
60 0.0316 96.88
70 0.0219 100.00
80 0.2930 90.62
90 0.0832 96.88
100 0.0089 100.00
110 0.0239 100.00
120 0.0764 96.88
130 0.0198 100.00
140 0.1015 96.88
150 0.0072 100.00
160 0.2058 93.75
170 0.0516 96.88
180 0.1119 90.62
190 0.1236 93.75
200 0.0396 96.88
210 0.2371 96.88
220 0.0840 96.88
230 0.1681 96.88
240 0.0440 96.88
250 0.1345 93.75
260 0.0117 100.00
270 0.0744 96.88
280 0.0400 96.88
290 0.2728 90.62
300 0.0480 100.00
310 0.0537 100.00
