batch loss acc
0 0.0036 100.00
10 0.0020 100.00
20 0.0009 100.00
30 0.0037 100.00
40 0.0179 100.00
50 0.0012 100.00
60 0.0045 100.00
70 0.0187 100.00
80 0.0006 100.00
90 0.0013 100.00
100 0.0017 100.00
110 0.0018 100.00
120 0.0017 100.00
130 0.0010 100.00
140 0.1475 96.88
150 0.0018 100.00
160 0.0017 100.00
170 0.0504 96.88
180 0.0106 100.00
190 0.0138 100.00
200 0.0040 100.00
210 0.0054 100.00
220 0.0045 100.00
230 0.0046 100.00
240 0.0009 100.00
250 0.0016 100.00
260 0.0038 100.00
270 0.0994 96.88
280 0.0439 96.88
290 0.0013 100.00
300 0.0066 100.00
310 0.0365 96.88
