batch loss acc
0 0.0043 100.00
10 0.0009 100.00
20 0.0004 100.00
30 0.0060 100.00
40 0.0231 100.00
50 0.0618 96.88
60 0.0036 100.00
70 0.1815 96.88
80 0.0163 100.00
90 0.0113 100.00
100 0.0015 100.00
110 0.0708 96.88
120 0.1570 93.75
130 0.0083 100.00
140 0.1702 96.88
150 0.0491 96.88
160 0.0237 100.00
170 0.0471 96.88
180 0.0261 100.00
190 0.0257 100.00
200 0.0026 100.00
210 0.0773 96.88
220 0.1615 96.88
230 0.0500 96.88
240 0.1917 90.62
250 0.0782 93.75
260 0.0818 93.75
270 0.0480 96.88
280 0.1005 96.88
290 0.1107 96.88
300 0.2053 96.88
310 0.1655 90.62
