batch loss acc
0 0.0004 100.00
10 0.0002 100.00
20 0.0365 96.88
30 0.0138 100.00
40 0.0010 100.00
50 0.0120 100.00
60 0.0075 100.00
70 0.0047 100.00
80 0.0111 100.00
90 0.1317 96.88
100 0.1732 90.62
110 0.0820 96.88
120 0.0456 100.00
130 0.0114 100.00
140 0.0036 100.00
150 0.0111 100.00
160 0.0425 100.00
170 0.0039 100.00
180 0.0619 96.88
190 0.0100 100.00
200 0.1203 96.88
210 0.0083 100.00
220 0.0284 100.00
230 0.0124 100.00
240 0.0223 100.00
250 0.0020 100.00
260 0.0008 100.00
270 0.0011 100.00
280 0.0530 96.88
290 0.0612 96.88
300 0.0502 96.88
310 0.0382 100.00
