batch loss acc
0 0.0106 100.00
10 0.1445 96.88
20 0.0284 100.00
30 0.0082 100.00
40 0.0263 100.00
50 0.0036 100.00
60 0.0174 100.00
70 0.0285 96.88
80 0.0366 100.00
90 0.0015 100.00
100 0.0276 100.00
110 0.0354 100.00
120 0.0090 100.00
130 0.0279 100.00
140 0.0220 100.00
150 0.0371 100.00
160 0.2110 96.88
170 0.0639 96.88
180 0.1487 96.88
190 0.0234 100.00
200 0.0175 100.00
210 0.1194 96.88
220 0.1292 96.88
230 0.0469 96.88
240 0.1139 96.88
250 0.1163 93.75
260 0.0060 100.00
270 0.1168 96.88
280 0.0965 96.88
290 0.1732 96.88
300 0.0328 100.00
310 0.1855 90.62
