batch loss acc
0 0.0988 96.88
10 0.0353 96.88
20 0.0504 96.88
30 0.2086 96.88
40 0.0375 100.00
50 0.0555 96.88
60 0.1046 93.75
70 0.0290 100.00
80 0.0926 96.88
90 0.2202 93.75
100 0.0167 100.00
110 0.0789 96.88
120 0.0540 96.88
130 0.0685 96.88
140 0.1036 93.75
150 0.0798 96.88
160 0.1499 96.88
170 0.0165 100.00
180 0.0042 100.00
190 0.0232 100.00
200 0.0227 100.00
210 0.0136 100.00
220 0.0312 100.00
230 0.1352 93.75
240 0.0130 100.00
250 0.0162 100.00
260 0.0145 100.00
270 0.0191 100.00
280 0.1144 96.88
290 0.0079 100.00
300 0.0051 100.00
310 0.0678 96.88
