batch loss acc
0 1.3887 15.62
10 1.3902 25.00
20 1.3852 12.50
30 1.3545 28.12
40 1.3077 31.25
50 0.9230 53.12
60 0.2958 87.50
70 0.0772 100.00
80 0.0573 96.88
90 0.0184 100.00
100 0.0326 100.00
110 0.0073 100.00
120 0.0101 100.00
130 0.0027 100.00
140 0.0017 100.00
150 0.0037 100.00
160 0.0035 100.00
170 0.0342 96.88
180 0.0112 100.00
190 0.0028 100.00
200 0.0027 100.00
210 0.0019 100.00
220 0.0108 100.00
230 0.0018 100.00
240 0.0040 100.00
250 0.0023 100.00
260 0.0016 100.00
270 0.0011 100.00
280 0.0006 100.00
290 0.0006 100.00
300 0.0007 100.00
310 0.0005 100.00
