batch loss acc
0 0.0089 100.00
10 0.0248 100.00
20 0.1095 96.88
30 0.0564 100.00
40 0.0076 100.00
50 0.0054 100.00
60 0.0156 100.00
70 0.0375 96.88
80 0.2315 93.75
90 0.0077 100.00
100 0.0051 100.00
110 0.0182 100.00
120 0.0379 96.88
130 0.0252 100.00
140 0.0116 100.00
150 0.0975 96.88
160 0.1415 96.88
170 0.0851 96.88
180 0.0031 100.00
190 0.1068 96.88
200 0.0210 100.00
210 0.0135 100.00
220 0.0079 100.00
230 0.0007 100.00
240 0.0959 96.88
250 0.0048 100.00
260 0.0185 100.00
270 0.0120 100.00
280 0.0218 100.00
290 0.0459 96.88
300 0.0025 100.00
310 0.1306 96.88
