batch loss acc
0 0.0326 96.88
10 0.0147 100.00
20 0.0446 96.88
30 0.0186 100.00
40 0.0018 100.00
50 0.0226 100.00
60 0.0125 100.00
70 0.0097 100.00
80 0.0180 100.00
90 0.0267 100.00
100 0.0126 100.00
110 0.0043 100.00
120 0.0038 100.00
130 0.1363 96.88
140 0.1916 93.75
150 0.0173 100.00
160 0.0173 100.00
170 0.0385 96.88
180 0.0706 96.88
190 0.1153 96.88
200 0.2418 90.62
210 0.0480 100.00
220 0.1056 93.75
230 0.0051 100.00
240 0.1270 96.88
250 0.1384 96.88
260 0.0188 100.00
270 0.1289 96.88
280 0.0858 96.88
290 0.0045 100.00
300 0.0156 100.00
310 0.0121 100.00
