batch loss acc
0 0.0185 100.00
10 0.1251 96.88
20 0.0188 100.00
30 0.0564 100.00
40 0.0627 96.88
50 0.0123 100.00
60 0.0063 100.00
70 0.0118 100.00
80 0.0031 100.00
90 0.3158 90.62
100 0.0042 100.00
110 0.0044 100.00
120 0.0068 100.00
130 0.0050 100.00
140 0.0025 100.00
150 0.0020 100.00
160 0.0013 100.00
170 0.0026 100.00
180 0.0008 100.00
190 0.0004 100.00
200 0.0044 100.00
210 0.1003 96.88
220 0.0015 100.00
230 0.0013 100.00
240 0.0017 100.00
250 0.0016 100.00
260 0.0032 100.00
270 0.0065 100.00
280 0.0014 100.00
290 0.0009 100.00
300 0.0007 100.00
310 0.0005 100.00
