batch loss acc
0 0.1442 96.88
10 0.0288 100.00
20 0.0030 100.00
30 0.0172 100.00
40 0.0502 96.88
50 0.1360 96.88
60 0.0315 100.00
70 0.1146 96.88
80 0.0549 96.88
90 0.0047 100.00
100 0.0033 100.00
110 0.1267 96.88
120 0.0100 100.00
130 0.0024 100.00
140 0.0015 100.00
150 0.0006 100.00
160 0.0069 100.00
170 0.0024 100.00
180 0.0028 100.00
190 0.0016 100.00
200 0.0196 100.00
210 0.0007 100.00
220 0.0258 96.88
230 0.0035 100.00
240 0.0011 100.00
250 0.0005 100.00
260 0.1354 96.88
270 0.0114 100.00
280 0.0012 100.00
290 0.0015 100.00
300 0.0014 100.00
310 0.0020 100.00
