batch loss acc
0 0.1433 96.88
10 0.2479 93.75
20 0.1198 96.88
30 0.1000 96.88
40 0.0122 100.00
50 0.0091 100.00
60 0.0067 100.00
70 0.0110 100.00
80 0.0832 96.88
90 0.0400 96.88
100 0.0139 100.00
110 0.0335 100.00
120 0.0383 100.00
130 0.0366 96.88
140 0.0376 96.88
150 0.0316 100.00
160 0.0066 100.00
170 0.0991 96.88
180 0.0719 96.88
190 0.0223 100.00
200 0.0191 100.00
210 0.0125 100.00
220 0.0126 100.00
230 0.0668 96.88
240 0.0217 100.00
250 0.0466 96.88
260 0.0517 100.00
270 0.0303 100.00
280 0.0232 100.00
290 0.0031 100.00
300 0.0338 96.88
310 0.1635 96.88
