batch loss acc
0 0.1441 96.88
10 0.0818 100.00
20 0.0106 100.00
30 0.0122 100.00
40 0.0357 100.00
50 0.0300 100.00
60 0.0595 96.88
70 0.0291 100.00
80 0.1191 96.88
90 0.0034 100.00
100 0.0087 100.00
110 0.0256 100.00
120 0.0109 100.00
130 0.1532 93.75
140 0.0433 100.00
150 0.0860 96.88
160 0.1181 96.88
170 0.2162 87.50
180 0.0151 100.00
190 0.0817 96.88
200 0.0093 100.00
210 0.0032 100.00
220 0.0106 100.00
230 0.0222 100.00
240 0.0159 100.00
250 0.2605 90.62
260 0.0430 96.88
270 0.0050 100.00
280 0.1319 96.88
290 0.2022 93.75
300 0.2000 93.75
310 0.0625 96.88
