batch loss acc
0 0.0018 100.00
10 0.0016 100.00
20 0.0054 100.00
30 0.3830 93.75
40 0.0100 100.00
50 0.0043 100.00
60 0.0006 100.00
70 0.0078 100.00
80 0.0031 100.00
90 0.0033 100.00
100 0.0025 100.00
110 0.0192 100.00
120 0.1056 96.88
130 0.0325 100.00
140 0.0979 96.88
150 0.0395 100.00
160 0.0407 100.00
170 0.0659 96.88
180 0.0008 100.00
190 0.0020 100.00
200 0.0091 100.00
210 0.0048 100.00
220 0.1563 93.75
230 0.0988 96.88
240 0.0068 100.00
250 0.1369 96.88
260 0.1935 93.75
270 0.0700 96.88
280 0.0888 96.88
290 0.2114 90.62
300 0.0240 100.00
310 0.0834 96.88
