batch loss acc
0 0.0521 100.00
10 0.0211 100.00
20 0.0135 100.00
30 0.0606 96.88
40 0.1773 93.75
50 0.0679 96.88
60 0.0203 100.00
70 0.1201 93.75
80 0.0232 100.00
90 0.0181 100.00
100 0.0380 96.88
110 0.0487 96.88
120 0.0180 100.00
130 0.0027 100.00
140 0.0059 100.00
150 0.0090 100.00
160 0.0087 100.00
170 0.0274 100.00
180 0.2207 96.88
190 0.0385 100.00
200 0.0297 100.00
210 0.0487 96.88
220 0.0302 100.00
230 0.0806 96.88
240 0.0068 100.00
250 0.0733 96.88
260 0.2433 93.75
270 0.0864 96.88
280 0.0439 96.88
290 0.0022 100.00
300 0.0049 100.00
310 0.0043 100.00
