batch loss acc
0 0.0121 100.00
10 0.0031 100.00
20 0.0033 100.00
30 0.0143 100.00
40 0.0139 100.00
50 0.1108 96.88
60 0.0140 100.00
70 0.2323 96.88
80 0.0138 100.00
90 0.0832 96.88
100 0.0330 100.00
110 0.0082 100.00
120 0.0187 100.00
130 0.0044 100.00
140 0.0333 96.88
150 0.0108 100.00
160 0.0043 100.00
170 0.0017 100.00
180 0.0026 100.00
190 0.0311 96.88
200 0.0049 100.00
210 0.0059 100.00
220 0.1495 96.88
230 0.0074 100.00
240 0.0146 100.00
250 0.0016 100.00
260 0.0908 96.88
270 0.0018 100.00
280 0.1333 96.88
290 0.0154 100.00
300 0.1952 96.88
310 0.0043 100.00
