batch loss acc
0 0.0018 100.00
10 0.0012 100.00
20 0.0053 100.00
30 0.0024 100.00
40 0.0142 100.00
50 0.0018 100.00
60 0.0065 100.00
70 0.0531 96.88
80 0.0033 100.00
90 0.0046 100.00
100 0.1017 96.88
110 0.0106 100.00
120 0.0098 100.00
130 0.0022 100.00
140 0.0027 100.00
150 0.0083 100.00
160 0.0110 100.00
170 0.1326 96.88
180 0.0040 100.00
190 0.0045 100.00
200 0.0110 100.00
210 0.0690 96.88
220 0.0186 100.00
230 0.0076 100.00
240 0.0201 100.00
250 0.0562 96.88
260 0.0086 100.00
270 0.0331 100.00
280 0.0810 96.88
290 0.1511 93.75
300 0.0132 100.00
310 0.0304 96.88
