batch loss acc
0 1.3960 18.75
10 1.4063 25.00
20 1.3688 50.00
30 1.3757 31.25
40 1.4296 12.50
50 1.3467 37.50
60 1.3137 43.75
70 0.8617 56.25
80 1.1779 56.25
90 0.6815 62.50
100 0.7482 62.50
110 0.8490 50.00
120 0.4299 81.25
130 0.1986 100.00
140 0.0555 100.00
150 0.0140 100.00
160 0.0148 100.00
170 0.0083 100.00
180 0.0024 100.00
190 0.0011 100.00
200 0.0011 100.00
210 0.0008 100.00
220 0.0011 100.00
230 0.0039 100.00
240 0.0016 100.00
250 0.0021 100.00
260 0.0031 100.00
270 0.0026 100.00
280 0.0004 100.00
290 0.0005 100.00
300 0.0004 100.00
310 0.0004 100.00
320 0.0004 100.00
330 0.0003 100.00
340 0.0011 100.00
350 0.0004 100.00
360 0.0005 100.00
370 0.0002 100.00
380 0.0003 100.00
390 0.0006 100.00
400 0.0003 100.00
410 0.0003 100.00
420 0.0003 100.00
430 0.0003 100.00
440 0.0004 100.00
450 0.0002 100.00
460 0.0003 100.00
470 0.0005 100.00
480 0.0002 100.00
490 0.0002 100.00
500 0.0003 100.00
510 0.0003 100.00
520 0.0003 100.00
530 0.0002 100.00
