batch loss acc
0 1.3915 6.25
10 1.4399 6.25
20 1.3937 37.50
30 1.3880 18.75
40 1.3386 68.75
50 1.3122 43.75
60 1.2736 50.00
70 1.3393 43.75
80 0.9679 56.25
90 0.7538 50.00
100 0.4599 81.25
110 0.5116 81.25
120 0.2016 93.75
130 0.1218 93.75
140 0.0461 100.00
150 0.0189 100.00
160 0.0061 100.00
170 0.0019 100.00
180 0.0052 100.00
190 0.0018 100.00
200 0.0020 100.00
210 0.0046 100.00
220 0.0018 100.00
230 0.0021 100.00
240 0.0010 100.00
250 0.0007 100.00
260 0.0026 100.00
270 0.0012 100.00
280 0.0004 100.00
290 0.0003 100.00
300 0.0005 100.00
310 0.0012 100.00
320 0.0004 100.00
330 0.0010 100.00
340 0.0004 100.00
350 0.0003 100.00
360 0.0002 100.00
370 0.0003 100.00
380 0.0002 100.00
390 0.0005 100.00
400 0.0002 100.00
410 0.0005 100.00
420 0.0006 100.00
430 0.0002 100.00
440 0.0011 100.00
450 0.0010 100.00
460 0.0003 100.00
470 0.0003 100.00
480 0.0005 100.00
490 0.0001 100.00
500 0.0002 100.00
510 0.0003 100.00
520 0.0009 100.00
530 0.0001 100.00
