batch loss acc
0 1.3899 31.25
10 1.4360 31.25
20 1.3828 31.25
30 1.3535 25.00
40 1.3606 37.50
50 1.3270 50.00
60 0.9639 50.00
70 0.8601 62.50
80 1.0681 56.25
90 0.6081 81.25
100 0.8787 56.25
110 0.7247 50.00
120 0.6353 62.50
130 0.6444 50.00
140 0.4901 75.00
150 0.4802 81.25
160 0.4577 87.50
170 0.2186 100.00
180 0.0691 100.00
190 0.0051 100.00
200 0.0025 100.00
210 0.0009 100.00
220 0.0018 100.00
230 0.0005 100.00
240 0.0008 100.00
250 0.0003 100.00
260 0.0005 100.00
270 0.0006 100.00
280 0.0005 100.00
290 0.0004 100.00
300 0.0010 100.00
310 0.0004 100.00
320 0.0011 100.00
330 0.0002 100.00
340 0.0003 100.00
350 0.0003 100.00
360 0.0003 100.00
370 0.0004 100.00
380 0.0002 100.00
390 0.0003 100.00
400 0.0002 100.00
410 0.0004 100.00
420 0.0002 100.00
430 0.0002 100.00
440 0.0007 100.00
450 0.0001 100.00
460 0.0003 100.00
470 0.0001 100.00
480 0.0002 100.00
490 0.0002 100.00
500 0.0003 100.00
510 0.0003 100.00
520 0.0003 100.00
530 0.0001 100.00
