batch loss acc
0 1.3897 25.00
10 1.3837 25.00
20 1.3771 25.00
30 1.4193 43.75
40 1.3709 31.25
50 1.3491 25.00
60 0.8679 56.25
70 0.8472 62.50
80 0.8365 56.25
90 0.5058 87.50
100 0.6047 62.50
110 0.4511 81.25
120 0.2463 93.75
130 0.0913 100.00
140 0.0946 93.75
150 0.0152 100.00
160 0.0055 100.00
170 0.0019 100.00
180 0.0014 100.00
190 0.0009 100.00
200 0.0008 100.00
210 0.0020 100.00
220 0.0005 100.00
230 0.0008 100.00
240 0.0015 100.00
250 0.0006 100.00
260 0.0013 100.00
270 0.0005 100.00
280 0.0014 100.00
290 0.0002 100.00
300 0.0004 100.00
310 0.0006 100.00
320 0.0004 100.00
330 0.0003 100.00
340 0.0012 100.00
350 0.0002 100.00
360 0.0002 100.00
370 0.0002 100.00
380 0.0005 100.00
390 0.0001 100.00
400 0.0001 100.00
410 0.0001 100.00
420 0.0001 100.00
430 0.0003 100.00
440 0.0001 100.00
450 0.0002 100.00
460 0.0001 100.00
470 0.0003 100.00
480 0.0001 100.00
490 0.0001 100.00
500 0.0001 100.00
510 0.0002 100.00
520 0.0002 100.00
530 0.0002 100.00
