batch loss acc
0 1.3787 37.50
10 1.3876 31.25
20 1.4046 18.75
30 1.3647 31.25
40 1.3927 31.25
50 1.3102 31.25
60 1.1910 43.75
70 0.7735 68.75
80 0.9728 62.50
90 0.5861 75.00
100 0.9842 43.75
110 0.6697 68.75
120 0.9841 50.00
130 0.4257 68.75
140 0.9029 56.25
150 0.3375 93.75
160 0.4334 68.75
170 0.0646 100.00
180 0.0045 100.00
190 0.0044 100.00
200 0.0028 100.00
210 0.0030 100.00
220 0.0016 100.00
230 0.0008 100.00
240 0.0009 100.00
250 0.0005 100.00
260 0.0005 100.00
270 0.0415 100.00
280 0.0005 100.00
290 0.0005 100.00
300 0.0004 100.00
310 0.0002 100.00
320 0.0004 100.00
330 0.0002 100.00
340 0.0003 100.00
350 0.0002 100.00
360 0.0002 100.00
370 0.0002 100.00
380 0.0001 100.00
390 0.0004 100.00
400 0.0002 100.00
410 0.0002 100.00
420 0.0002 100.00
430 0.0002 100.00
440 0.0002 100.00
450 0.0004 100.00
460 0.0001 100.00
470 0.0001 100.00
480 0.0005 100.00
490 0.0001 100.00
500 0.0001 100.00
510 0.0002 100.00
520 0.0001 100.00
530 0.0002 100.00
