batch loss acc
0 1.3774 37.50
10 1.3765 37.50
20 1.3771 37.50
30 1.3665 31.25
40 1.3940 18.75
50 1.3268 31.25
60 1.2727 62.50
70 1.0074 62.50
80 0.7788 62.50
90 0.7236 62.50
100 0.6572 62.50
110 0.4168 75.00
120 0.4393 75.00
130 0.2266 93.75
140 0.0091 100.00
150 0.0791 93.75
160 0.0097 100.00
170 0.0021 100.00
180 0.0031 100.00
190 0.0127 100.00
200 0.0015 100.00
210 0.0010 100.00
220 0.0018 100.00
230 0.0007 100.00
240 0.0004 100.00
250 0.0007 100.00
260 0.0017 100.00
270 0.0005 100.00
280 0.0005 100.00
290 0.0006 100.00
300 0.0002 100.00
310 0.0002 100.00
320 0.0004 100.00
330 0.0002 100.00
340 0.0002 100.00
350 0.0001 100.00
360 0.0004 100.00
370 0.0002 100.00
380 0.0001 100.00
390 0.0005 100.00
400 0.0002 100.00
410 0.0004 100.00
420 0.0004 100.00
430 0.0001 100.00
440 0.0001 100.00
450 0.0003 100.00
460 0.0002 100.00
470 0.0003 100.00
480 0.0001 100.00
490 0.0001 100.00
500 0.0003 100.00
510 0.0001 100.00
520 0.0009 100.00
530 0.0002 100.00
