batch loss acc
0 1.3876 18.75
10 1.4627 6.25
20 1.4051 12.50
30 1.3439 62.50
40 1.3358 31.25
50 1.3488 31.25
60 1.2271 37.50
70 0.8359 62.50
80 0.8366 62.50
90 0.7478 56.25
100 0.8522 56.25
110 0.4397 81.25
120 0.5951 62.50
130 0.3370 87.50
140 0.3995 87.50
150 0.1898 87.50
160 0.1053 100.00
170 0.0173 100.00
180 0.0097 100.00
190 0.0056 100.00
200 0.0086 100.00
210 0.0047 100.00
220 0.0024 100.00
230 0.0008 100.00
240 0.0014 100.00
250 0.0004 100.00
260 0.0012 100.00
270 0.0009 100.00
280 0.0005 100.00
290 0.0006 100.00
300 0.0002 100.00
310 0.0006 100.00
320 0.0004 100.00
330 0.0006 100.00
340 0.0003 100.00
350 0.0003 100.00
360 0.0007 100.00
370 0.0004 100.00
380 0.0004 100.00
390 0.0003 100.00
400 0.0008 100.00
410 0.0002 100.00
420 0.0004 100.00
430 0.0002 100.00
440 0.0001 100.00
450 0.0003 100.00
460 0.0004 100.00
470 0.0002 100.00
480 0.0002 100.00
490 0.0002 100.00
500 0.0002 100.00
510 0.0002 100.00
520 0.0001 100.00
530 0.0002 100.00
