batch loss acc
0 1.3883 6.25
10 1.4020 6.25
20 1.3820 6.25
30 1.3668 43.75
40 1.3260 31.25
50 1.3237 37.50
60 0.7882 56.25
70 0.9184 43.75
80 0.7620 68.75
90 0.4498 87.50
100 0.3732 93.75
110 0.1711 93.75
120 0.0561 100.00
130 0.0131 100.00
140 0.0486 93.75
150 0.1082 93.75
160 0.0289 100.00
170 0.0023 100.00
180 0.0302 100.00
190 0.0009 100.00
200 0.0067 100.00
210 0.0019 100.00
220 0.0009 100.00
230 0.0005 100.00
240 0.0006 100.00
250 0.0014 100.00
260 0.0012 100.00
270 0.0003 100.00
280 0.0003 100.00
290 0.0005 100.00
300 0.0002 100.00
310 0.0006 100.00
320 0.0004 100.00
330 0.0002 100.00
340 0.0001 100.00
350 0.0003 100.00
360 0.0001 100.00
370 0.0002 100.00
380 0.0002 100.00
390 0.0002 100.00
400 0.0001 100.00
410 0.0002 100.00
420 0.0001 100.00
430 0.0004 100.00
440 0.0002 100.00
450 0.0001 100.00
460 0.0001 100.00
470 0.0001 100.00
480 0.0003 100.00
490 0.0001 100.00
500 0.0004 100.00
510 0.0001 100.00
520 0.0002 100.00
530 0.0002 100.00
