batch loss acc
0 1.3815 31.25
10 1.4255 18.75
20 1.3811 31.25
30 1.4059 12.50
40 1.3632 37.50
50 1.4003 18.75
60 1.2992 25.00
70 0.9037 56.25
80 0.9277 50.00
90 0.6029 81.25
100 0.7417 56.25
110 0.6552 56.25
120 0.2719 93.75
130 0.6203 68.75
140 0.5931 56.25
150 0.4786 87.50
160 0.5238 75.00
170 0.0910 100.00
180 0.0538 100.00
190 0.0368 100.00
200 0.0046 100.00
210 0.0040 100.00
220 0.0049 100.00
230 0.0016 100.00
240 0.0033 100.00
250 0.0020 100.00
260 0.0009 100.00
270 0.0017 100.00
280 0.0006 100.00
290 0.0007 100.00
300 0.0005 100.00
310 0.0006 100.00
320 0.0003 100.00
330 0.0006 100.00
340 0.0007 100.00
350 0.0003 100.00
360 0.0007 100.00
370 0.0007 100.00
380 0.0004 100.00
390 0.0004 100.00
400 0.0013 100.00
410 0.0003 100.00
420 0.0002 100.00
430 0.0002 100.00
440 0.0002 100.00
450 0.0004 100.00
460 0.0001 100.00
470 0.0002 100.00
480 0.0002 100.00
490 0.0002 100.00
500 0.0003 100.00
510 0.0004 100.00
520 0.0003 100.00
530 0.0004 100.00
