batch loss acc
0 1.3821 37.50
10 1.4354 31.25
20 1.3696 37.50
30 1.3783 25.00
40 1.3987 18.75
50 1.3171 50.00
60 1.3054 31.25
70 1.1872 31.25
80 0.7753 81.25
90 0.7609 56.25
100 0.6820 50.00
110 0.4186 81.25
120 0.3943 81.25
130 0.0827 100.00
140 0.0788 100.00
150 0.0529 100.00
160 0.0147 100.00
170 0.0088 100.00
180 0.0024 100.00
190 0.0033 100.00
200 0.0034 100.00
210 0.0015 100.00
220 0.0008 100.00
230 0.0008 100.00
240 0.0026 100.00
250 0.0008 100.00
260 0.0005 100.00
270 0.0010 100.00
280 0.0011 100.00
290 0.0008 100.00
300 0.0004 100.00
310 0.0005 100.00
320 0.0006 100.00
330 0.0006 100.00
340 0.0006 100.00
350 0.0007 100.00
360 0.0003 100.00
370 0.0002 100.00
380 0.0002 100.00
390 0.0003 100.00
400 0.0003 100.00
410 0.0004 100.00
420 0.0002 100.00
430 0.0004 100.00
440 0.0004 100.00
450 0.0002 100.00
460 0.0002 100.00
470 0.0004 100.00
480 0.0002 100.00
490 0.0002 100.00
500 0.0001 100.00
510 0.0001 100.00
520 0.0000 100.00
530 0.0002 100.00
