batch loss acc
0 1.4032 18.75
10 1.4390 18.75
20 1.3815 25.00
30 1.3702 31.25
40 1.3755 25.00
50 1.3629 31.25
60 1.3275 25.00
70 0.9490 68.75
80 0.7769 68.75
90 0.8403 50.00
100 0.5997 62.50
110 0.6230 62.50
120 0.7148 68.75
130 0.3535 87.50
140 0.1536 100.00
150 0.0415 100.00
160 0.0146 100.00
170 0.0104 100.00
180 0.0046 100.00
190 0.0030 100.00
200 0.0011 100.00
210 0.0011 100.00
220 0.0007 100.00
230 0.0009 100.00
240 0.0005 100.00
250 0.0006 100.00
260 0.0004 100.00
270 0.0005 100.00
280 0.0026 100.00
290 0.0008 100.00
300 0.0006 100.00
310 0.0004 100.00
320 0.0003 100.00
330 0.0008 100.00
340 0.0003 100.00
350 0.0004 100.00
360 0.0003 100.00
370 0.0014 100.00
380 0.0003 100.00
390 0.0001 100.00
400 0.0004 100.00
410 0.0002 100.00
420 0.0005 100.00
430 0.0008 100.00
440 0.0004 100.00
450 0.0004 100.00
460 0.0003 100.00
470 0.0011 100.00
480 0.0003 100.00
490 0.0002 100.00
500 0.0003 100.00
510 0.0002 100.00
520 0.0001 100.00
530 0.0002 100.00
