batch loss acc
0 1.3885 25.00
10 1.3840 31.25
20 1.3754 43.75
30 1.3931 25.00
40 1.3538 37.50
50 1.1930 68.75
60 0.8254 43.75
70 0.9512 62.50
80 0.7837 68.75
90 0.5495 81.25
100 0.5591 68.75
110 0.3889 81.25
120 0.1832 93.75
130 0.1142 100.00
140 0.0336 100.00
150 0.0056 100.00
160 0.0513 100.00
170 0.0058 100.00
180 0.0039 100.00
190 0.0021 100.00
200 0.0034 100.00
210 0.0021 100.00
220 0.0007 100.00
230 0.0012 100.00
240 0.0010 100.00
250 0.0007 100.00
260 0.0012 100.00
270 0.0006 100.00
280 0.0013 100.00
290 0.0003 100.00
300 0.0015 100.00
310 0.0004 100.00
320 0.0006 100.00
330 0.0008 100.00
340 0.0004 100.00
350 0.0004 100.00
360 0.0006 100.00
370 0.0005 100.00
380 0.0004 100.00
390 0.0003 100.00
400 0.0007 100.00
410 0.0005 100.00
420 0.0003 100.00
430 0.0005 100.00
440 0.0003 100.00
450 0.0003 100.00
460 0.0003 100.00
470 0.0003 100.00
480 0.0003 100.00
490 0.0008 100.00
500 0.0002 100.00
510 0.0002 100.00
520 0.0002 100.00
530 0.0002 100.00
