batch loss acc
0 1.3920 12.50
10 1.4295 12.50
20 1.4524 31.25
30 1.3833 25.00
40 1.4203 6.25
50 1.3835 31.25
60 1.3275 31.25
70 1.2273 43.75
80 0.8677 68.75
90 0.5772 75.00
100 0.7382 68.75
110 0.7215 56.25
120 0.6509 75.00
130 0.6218 62.50
140 0.1254 100.00
150 0.0168 100.00
160 0.0111 100.00
170 0.0288 100.00
180 0.0098 100.00
190 0.0070 100.00
200 0.0048 100.00
210 0.0029 100.00
220 0.0013 100.00
230 0.0020 100.00
240 0.0038 100.00
250 0.0014 100.00
260 0.0010 100.00
270 0.0022 100.00
280 0.0008 100.00
290 0.0006 100.00
300 0.0006 100.00
310 0.0007 100.00
320 0.0014 100.00
330 0.0003 100.00
340 0.0007 100.00
350 0.0003 100.00
360 0.0007 100.00
370 0.0003 100.00
380 0.0004 100.00
390 0.0003 100.00
400 0.0004 100.00
410 0.0002 100.00
420 0.0006 100.00
430 0.0004 100.00
440 0.0005 100.00
450 0.0002 100.00
460 0.0004 100.00
470 0.0005 100.00
480 0.0003 100.00
490 0.0001 100.00
500 0.0003 100.00
510 0.0001 100.00
520 0.0002 100.00
530 0.0001 100.00
